city,country,date,temperature,humidity,pressure,wind_speed,weather_main,weather_description,timestamp
Chennai,IN,2024-05-01,29.7,85.0,1005.0,3.6,Clouds,scattered clouds,2025-04-28T22:28:22.760365+00:00
Chennai,IN,2024-05-02,30.51,83.0,1004.0,4.63,Clouds,few clouds,2025-04-28T22:28:24.209052+00:00
Chennai,IN,2024-05-03,30.01,84.0,1004.0,4.63,Clouds,scattered clouds,2025-04-28T22:28:25.691720+00:00
Chennai,IN,2024-05-04,30.53,84.0,1006.0,5.66,Clouds,scattered clouds,2025-04-28T22:28:27.059043+00:00
Chennai,IN,2024-05-05,30.53,80.0,1004.0,4.12,Clouds,few clouds,2025-04-28T22:28:28.528946+00:00
Chennai,IN,2024-05-06,30.73,86.0,1005.0,3.6,Clouds,few clouds,2025-04-28T22:28:29.978495+00:00
Chennai,IN,2024-05-07,30.91,83.0,1006.0,4.12,Mist,mist,2025-04-28T22:28:31.424743+00:00
Chennai,IN,2024-05-08,26.69,81.0,1009.0,3.13,Mist,mist,2025-04-28T22:28:32.806192+00:00
Chennai,IN,2024-05-09,29.71,87.0,1006.0,2.06,Clouds,scattered clouds,2025-04-28T22:28:34.298863+00:00
Chennai,IN,2024-05-10,29.61,85.0,1007.0,2.06,Clouds,scattered clouds,2025-04-28T22:28:35.657268+00:00
Chennai,IN,2024-05-11,29.8,84.0,1008.0,2.06,Clouds,scattered clouds,2025-04-28T22:28:36.949669+00:00
Chennai,IN,2024-05-12,29.71,84.0,1008.0,1.03,Clouds,scattered clouds,2025-04-28T22:28:38.264454+00:00
Chennai,IN,2024-05-13,29.61,85.0,1007.0,2.68,Clouds,scattered clouds,2025-04-28T22:28:39.649551+00:00
Chennai,IN,2024-05-14,30.0,80.0,1007.0,1.03,Clouds,few clouds,2025-04-28T22:28:40.956096+00:00
Chennai,IN,2024-05-15,29.19,87.0,1008.0,3.6,Clouds,scattered clouds,2025-04-28T22:28:42.145972+00:00
Chennai,IN,2024-05-16,28.34,84.0,1007.0,1.03,Mist,mist,2025-04-28T22:28:43.411438+00:00
Chennai,IN,2024-05-17,26.68,93.0,1007.0,1.03,Mist,mist,2025-04-28T22:28:44.824537+00:00
