city,country,date,temperature,humidity,pressure,wind_speed,weather_main,weather_description,timestamp
Delhi,IN,2024-05-01,22.89,38.0,1003.0,4.12,Haze,haze,2025-04-28T22:53:54.776072+00:00
Delhi,IN,2024-05-02,21.09,35.0,1005.0,1.54,Haze,haze,2025-04-28T22:53:56.220201+00:00
Delhi,IN,2024-05-03,23.09,33.0,1005.0,1.54,Haze,haze,2025-04-28T22:53:57.661804+00:00
Delhi,IN,2024-05-04,27.09,28.0,1007.0,1.54,Haze,haze,2025-04-28T22:53:59.261746+00:00
Delhi,IN,2024-05-05,27.09,32.0,1002.0,1.54,Haze,haze,2025-04-28T22:54:00.702112+00:00
Delhi,IN,2024-05-06,29.0,34.0,1003.0,2.06,Haze,haze,2025-04-28T22:54:02.098897+00:00
Delhi,IN,2024-05-07,29.09,37.0,1004.0,1.54,Haze,haze,2025-04-28T22:54:03.548924+00:00
Delhi,IN,2024-05-08,30.11,58.0,1006.0,4.12,Haze,haze,2025-04-28T22:54:04.998690+00:00
Delhi,IN,2024-05-09,26.78,54.0,1006.0,3.09,Haze,haze,2025-04-28T22:54:06.449542+00:00
Delhi,IN,2024-05-10,29.0,62.0,1007.0,3.6,Haze,haze,2025-04-28T22:54:07.833839+00:00
Delhi,IN,2024-05-11,28.09,47.0,1011.0,4.12,Dust,dust,2025-04-28T22:54:09.282398+00:00
Delhi,IN,2024-05-12,29.0,51.0,1010.0,2.57,Haze,haze,2025-04-28T22:54:10.807833+00:00
Delhi,IN,2024-05-13,30.09,45.0,1009.0,1.54,Haze,haze,2025-04-28T22:54:12.374401+00:00
Delhi,IN,2024-05-14,28.09,51.0,1009.0,0.0,Haze,haze,2025-04-28T22:54:13.823956+00:00
Delhi,IN,2024-05-15,28.09,32.0,1009.0,0.0,Haze,haze,2025-04-28T22:54:15.214848+00:00
Delhi,IN,2024-05-16,29.09,32.0,1010.0,1.54,Haze,haze,2025-04-28T22:54:16.681467+00:00
Delhi,IN,2024-05-17,30.09,32.0,1006.0,1.03,Haze,haze,2025-04-28T22:54:18.098673+00:00
Delhi,IN,2024-05-18,31.09,33.0,1004.0,0.0,Haze,haze,2025-04-28T22:54:19.543016+00:00
Delhi,IN,2024-05-19,32.09,31.0,1001.0,1.54,Haze,haze,2025-04-28T22:54:20.856164+00:00
Delhi,IN,2024-05-20,32.09,27.0,1001.0,2.06,Haze,haze,2025-04-28T22:54:22.091043+00:00
Delhi,IN,2024-05-21,31.78,49.0,1003.0,3.6,Haze,haze,2025-04-28T22:54:23.631447+00:00
Delhi,IN,2024-05-22,31.78,49.0,1004.0,3.6,Haze,haze,2025-04-28T22:54:24.798228+00:00
Delhi,IN,2024-05-23,31.09,55.0,1003.0,3.09,Haze,haze,2025-04-28T22:54:26.087589+00:00
Delhi,IN,2024-05-24,30.67,52.0,1003.0,3.09,Haze,haze,2025-04-28T22:54:27.381277+00:00
Delhi,IN,2024-05-25,32.09,48.0,1001.0,1.54,Haze,haze,2025-04-28T22:54:28.682347+00:00
Delhi,IN,2024-05-26,31.09,35.0,1000.0,1.03,Haze,haze,2025-04-28T22:54:30.148172+00:00
Delhi,IN,2024-05-27,34.09,31.0,997.0,2.06,Haze,haze,2025-04-28T22:54:31.481323+00:00
Delhi,IN,2024-05-28,32.09,35.0,994.0,0.0,Haze,haze,2025-04-28T22:54:32.823506+00:00
